idna_subject,checker_type,destination,source,tested_at,session_id
042707d90914.agrigid.com,AVAILABILITY,origin.list,/home/runner/work/Badd-Boyz-Hosts_git_mitchellkrogza/Badd-Boyz-Hosts_git_mitchellkrogza/origin.list,2001-01-29 08:39:33.276526,80a525b8109be42be1e3a5a1
2cam.nl,AVAILABILITY,origin.list,/home/runner/work/Badd-Boyz-Hosts_git_mitchellkrogza/Badd-Boyz-Hosts_git_mitchellkrogza/origin.list,2001-01-29 08:39:33.469010,80a525b8109be42be1e3a5a1
86d6.com,AVAILABILITY,origin.list,/home/runner/work/Badd-Boyz-Hosts_git_mitchellkrogza/Badd-Boyz-Hosts_git_mitchellkrogza/origin.list,2001-01-29 08:39:33.982433,80a525b8109be42be1e3a5a1
ad.directanetworks.com,AVAILABILITY,origin.list,/home/runner/work/Badd-Boyz-Hosts_git_mitchellkrogza/Badd-Boyz-Hosts_git_mitchellkrogza/origin.list,2001-01-29 08:39:34.733114,80a525b8109be42be1e3a5a1
baby-soft.ca,AVAILABILITY,origin.list,/home/runner/work/Badd-Boyz-Hosts_git_mitchellkrogza/Badd-Boyz-Hosts_git_mitchellkrogza/origin.list,2001-01-29 08:39:36.155726,80a525b8109be42be1e3a5a1
computernama.ownsthis.com,AVAILABILITY,origin.list,/home/runner/work/Badd-Boyz-Hosts_git_mitchellkrogza/Badd-Boyz-Hosts_git_mitchellkrogza/origin.list,2001-01-29 08:39:36.672043,80a525b8109be42be1e3a5a1
coolbar.pro,AVAILABILITY,origin.list,/home/runner/work/Badd-Boyz-Hosts_git_mitchellkrogza/Badd-Boyz-Hosts_git_mitchellkrogza/origin.list,2001-01-29 08:39:36.927575,80a525b8109be42be1e3a5a1
free-dating-site.allmanpages.com,AVAILABILITY,origin.list,/home/runner/work/Badd-Boyz-Hosts_git_mitchellkrogza/Badd-Boyz-Hosts_git_mitchellkrogza/origin.list,2001-01-29 08:39:37.606413,80a525b8109be42be1e3a5a1
godfather3movies.blogs-blogs.com,AVAILABILITY,origin.list,/home/runner/work/Badd-Boyz-Hosts_git_mitchellkrogza/Badd-Boyz-Hosts_git_mitchellkrogza/origin.list,2001-01-29 08:39:37.929580,80a525b8109be42be1e3a5a1
godfatherallparts.blogs-blogs.com,AVAILABILITY,origin.list,/home/runner/work/Badd-Boyz-Hosts_git_mitchellkrogza/Badd-Boyz-Hosts_git_mitchellkrogza/origin.list,2001-01-29 08:39:37.942328,80a525b8109be42be1e3a5a1
